,comentarios,repost,likes,views_reactions,views_reactions_log,red_social
52,8.0,0.0,145.0,2825.0,7.946263643580541,INSTAGRAM
53,8.0,0.0,181.0,2949.0,7.989221408815276,INSTAGRAM
54,3.0,0.0,72.0,2460.0,7.807916628926408,INSTAGRAM
55,1.0,0.0,77.0,988.0,6.895682697747868,INSTAGRAM
56,1.0,0.0,83.0,3021.0,8.013343181386672,INSTAGRAM
57,6.0,0.0,113.0,2688.0,7.89655270164304,INSTAGRAM
58,4.0,0.0,103.0,2720.0,7.908387159290043,INSTAGRAM
59,1.0,0.0,79.0,2331.0,7.754052639035757,INSTAGRAM
60,0.0,0.0,69.0,1699.0,7.4377951216719325,INSTAGRAM
61,6.0,0.0,106.0,2535.0,7.837948916025283,INSTAGRAM
62,2.0,0.0,64.0,2287.0,7.734996194022781,INSTAGRAM
63,5.0,0.0,122.0,2682.0,7.894318063841624,INSTAGRAM
64,2.0,0.0,59.0,814.0,6.70196036600254,INSTAGRAM
65,4.0,0.0,48.0,1279.0,7.153833801578843,INSTAGRAM
66,5.0,0.0,124.0,1519.0,7.325807502595773,INSTAGRAM
67,3.0,0.0,58.0,592.0,6.3835066348840055,INSTAGRAM
68,2.0,0.0,107.0,2394.0,7.780720886117918,INSTAGRAM
69,1.0,0.0,47.0,1257.0,7.136483208590247,INSTAGRAM
70,5.0,0.0,131.0,2192.0,7.692569648067906,INSTAGRAM
71,0.0,0.0,52.0,660.0,6.492239835020471,INSTAGRAM
72,5.0,0.0,123.0,1576.0,7.362645270417825,INSTAGRAM
73,2.0,0.0,39.0,1334.0,7.195937226475569,INSTAGRAM
74,2.0,0.0,105.0,1533.0,7.334981878871814,INSTAGRAM
75,7.0,0.0,94.0,1722.0,7.451241684987676,INSTAGRAM
76,2.0,0.0,58.0,1290.0,7.162397497355718,INSTAGRAM
77,6.0,0.0,110.0,1764.0,7.475339236566737,INSTAGRAM
78,14.0,0.0,238.0,4913.0,8.499640032168648,INSTAGRAM
79,25.0,0.0,8551.0,75600.0,11.233211562167625,INSTAGRAM
80,86.0,0.0,1900.0,16400.0,9.70503661381229,INSTAGRAM
81,0.0,0.0,38.0,1471.0,7.293697720601438,INSTAGRAM
82,1.0,0.0,87.0,2249.0,7.718240951959316,INSTAGRAM
83,1.0,0.0,147.0,2933.0,7.983781068977451,INSTAGRAM
84,1.0,0.0,39.0,3723.0,8.222285073872717,INSTAGRAM
85,5.0,0.0,89.0,2256.0,7.721348612617949,INSTAGRAM
86,1.0,0.0,34.0,1672.0,7.421775793644647,INSTAGRAM
87,6.0,0.0,104.0,1621.0,7.390798521735676,INSTAGRAM
